name,price,link
"GIGABYTE GeForce RTX 3060 EAGLE 12G Graphics Card, 2 x WINDFORCE Fans, 12GB 192-bit GDDR6, GV-N3060EAGLE-12GD Video Card",$510,https://www.newegg.com/gigabyte-geforce-rtx-3060-gv-n3060eagle-12gd/p/N82E16814932399?Description=3060&cm_re=3060-_-14-932-399-_-Product
"GIGABYTE AORUS GeForce RTX 3060 Ti ELITE 8G Graphics Card, 3 x WINDFORCE Fans, 8GB 256-bit GDDR6, GV-N306TAORUS E-8GD (rev. 2.0) Video Card (LHR)",$514,https://www.newegg.com/p/1FT-000A-002G7?Description=3060&cm_re=3060-_-1FT-000A-002G7-_-Product
PNY XLR8 Gaming GeForce RTX 3060 Ti 8GB GDDR6 PCI Express 4.0 x16 REVEL EPIC-X RGB Dual Fan Edition LHR VCG3060T8LDFXPPB,$517,https://www.newegg.com/pny-geforce-rtx-3060-ti-vcg3060t8ldfxppb/p/N82E16814133838?Description=3060&cm_re=3060-_-14-133-838-_-Product
"ASUS TUF Gaming GeForce RTX 3060 12GB GDDR6 PCI Express 4.0 Video Card, OC Edition TUF-RTX3060-O12G-GAMING",$519,https://www.newegg.com/asus-geforce-rtx-3060-tuf-rtx3060-o12g-gaming/p/N82E16814126491?Description=3060&cm_re=3060-_-14-126-491-_-Product
GDDR6 Gigabyte GeForce RTX 3060 EAGLE OC 12G Graphics Card 8pin RTX 3060 Video Card GDDR6 192bit,$519,https://www.newegg.com/p/1FT-000A-003U0?Description=3060&cm_re=3060-_-9SIBBB1HE75045-_-Product
"GIGABYTE AORUS GeForce RTX 3060 ELITE 12G Graphics Card, 3 x WINDFORCE Fans, 12GB 192-bit GDDR6, GV-N3060AORUS E-12GD Video Card",$520,https://www.newegg.com/gigabyte-geforce-rtx-3060-gv-n3060aorus-e-12gd/p/N82E16814932400?Description=3060&cm_re=3060-_-14-932-400-_-Product
"INNO3D GeForce RTX 3060 Black Gold Extreme OC (LHR) Graphics Card, 12GB 192-bit GDDR6, PCI Express 4.0,1×HDMI 2.1 Interface, 3×DisplayPort 1.4a Interface",$528,https://www.newegg.com/inno3d-geforce-rtx-3060-oc/p/1FT-000N-001F8?Description=3060&cm_re=3060-_-1FT-000N-001F8-_-Product
GIGABYTE Gaming OC PRO GeForce RTX 3060 Ti 8GB GDDR6 PCI Express 4.0 ATX Video Card GV-N306TGAMINGOC PRO-8GD (rev. 3.0) (LHR),$529,https://www.newegg.com/gigabyte-geforce-rtx-3060-ti-gv-n306tgamingoc-pro-8gd/p/N82E16814932453R?Description=3060&cm_re=3060-_-14-932-453R-_-Product
"GEFORCE RTX 3060 X2W LHR Graphics Card, 12GB 192-bit GDDR6, 1777MHz Core Frequency and 15000MHz Video Memory Frequency, 1×HDMI, 3×DisplayPort",$529,https://www.newegg.com/ax-rtx-3060-x2w-lhr/p/1FT-0040-00113?Description=3060&cm_re=3060-_-9SIA4REFJX5368-_-Product
GIGABYTE Gaming OC GeForce RTX 3060 Ti 8GB GDDR6 PCI Express 4.0 ATX Video Card GV-N306TGAMING OC-8GD REV 2.0 (LHR),$529,https://www.newegg.com/gigabyte-geforce-rtx-3060-ti-gv-n306tgaming-oc-8gd-rev-2-0/p/N82E16814932468R?Description=3060&cm_re=3060-_-14-932-468R-_-Product
ASUS Dual GeForce RTX 3060 12GB GDDR6 PCI Express 4.0 Video Card DUAL-RTX3060-12G,$530,https://www.newegg.com/asus-geforce-rtx-3060-dual-rtx3060-12g/p/N82E16814126493?Description=3060&cm_re=3060-_-9SIAU94J2M0581-_-Product
